Azumanga Daiou: Gekijou Tanpen, 659
Denshin Mamotte Shugogetten, 660
Elf-ban Kakyuusei: Anata dake wo Mitsumete..., 661
Fullmetal Alchemist: Reflections, 664
JoJo no Kimyou na Bouken: Adventure, 665
JoJo no Kimyou na Bouken, 666
Kashimashi: Girl Meets Girl, 667
Koi Koi 7, 668
Kujibiki Unbalance, 669
Chou Henshin Cosprayers vs. Ankoku Uchuu Shougun the Movie, 705
Comic Party Revolution, 706
Comic Party Specials, 707
Patapata Hikousen no Bouken, 708
Mujin Wakusei Survive, 709
Rec, 710
Uchuu Senkan Yamato (Movie), 711
Zoids Genesis, 712
Air Movie, 713
High School! Kimengumi, 714
Yume de Aetara, 715
Yume de Aetara (TV), 718
Ai no Kusabi, 719
Princess Tutu, 721
Baby☆Love, 722
Candy Candy (Movie), 723
Enzai, 724
First Kiss Monogatari, 725
Kingyo Chuuihou!, 727
Hiatari Ryoukou!, 729
Houkago no Shokuinshitsu, 730
Interstella5555: The 5tory of The 5ecret 5tar 5ystem, 731
Vampire Hunter D, 732
Kizuna, 733
Kizuna: Koi no Karasawagi, 734
Yomigaeru Sora: Rescue Wings, 798
Kokoro Toshokan, 799
NieA Under 7, 800
Koukaku Kidoutai: Stand Alone Complex 2nd GIG, 801
Tsubasa Chronicle: Tori Kago no Kuni no Himegimi, 807
Bakuretsu Hunters OVA, 808
Android Ana Maico 2010, 810
I''s Pure, 811
Chikyuu Shoujo Arjuna, 812
Dragon Ball Z, 813
Tennis no Oujisama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri, 814
Tennis no Oujisama Movie 1: Futari no Samurai - The First Game, 815
Nanako Kaitai Shinsho, 816
Tactical Roar, 817
Sakura Tsuushin, 818
Boku wa Imouto ni Koi wo Suru, 819
Ginga Eiyuu Densetsu, 820
Initial D Battle Stage, 821
Initial D Extra Stage, 822
Virgin Night, 823
Guardian Hearts, 824
King of Fighters: Another Day, 825
Uba, 827
Jinshin Yuugi, 828
Sexfriend, 830
Chicchana Yukitsukai Sugar, 831
Ginsoukikou Ordian, 832
Choujuushin Gravion, 833
Bleach: The Sealed Sword Frenzy, 834
Sister Princess: Re Pure, 835
